,Date,wind_speed,FIPS_NAME_x,FPA_ID,FIRE_CODE,FIRE_NAME,FIRE_YEAR,DISCOVERY_TIME,STAT_CAUSE_CODE,STAT_CAUSE_DESCR,date(CONT_DATE),FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,FIPS_CODE,FIPS_NAME_y,STATE,tmax,tmin,Precip,average
222,2003-05-02,9.2,Imperial,,,,,,,,,,,,,,,,,,,
223,2003-05-02,11.4,Imperial,,,,,,,,,,,,,,,,,,,
224,2003-05-03,19.0,Imperial,,,,,,,,,,,,,,,,,,,
225,2003-05-03,18.8,Imperial,,,,,,,,,,,,,,,,,,,
226,2003-05-04,15.7,Imperial,,,,,,,,,,,,,,,,,,,
227,2003-05-05,7.4,Imperial,,,,,,,,,,,,,,,,,,,
228,2003-05-05,8.5,Imperial,,,,,,,,,,,,,,,,,,,
229,2003-05-06,16.1,Imperial,,,,,,,,,,,,,,,,,,,
230,2003-05-06,18.1,Imperial,,,,,,,,,,,,,,,,,,,
231,2003-05-07,18.6,Imperial,,,,,,,,,,,,,,,,,,,
232,2003-05-07,17.0,Imperial,,,,,,,,,,,,,,,,,,,
233,2003-05-08,23.3,Imperial,,,,,,,,,,,,,,,,,,,
234,2003-05-08,22.6,Imperial,,,,,,,,,,,,,,,,,,,
235,2003-05-09,13.6,Imperial,,,,,,,,,,,,,,,,,,,
236,2003-05-09,12.8,Imperial,,,,,,,,,,,,,,,,,,,
237,2003-05-10,5.1,Imperial,,,,,,,,,,,,,,,,,,,
238,2003-05-10,3.1,Imperial,,,,,,,,,,,,,,,,,,,
239,2003-05-11,3.8,Imperial,,,,,,,,,,,,,,,,,,,
240,2003-05-12,5.8,Imperial,,,,,,,,,,,,,,,,,,,
241,2003-05-12,3.1,Imperial,,,,,,,,,,,,,,,,,,,
242,2003-05-13,4.7,Imperial,,,,,,,,,,,,,,,,,,,
243,2003-05-13,4.7,Imperial,,,,,,,,,,,,,,,,,,,
244,2003-05-14,13.9,Imperial,,,,,,,,,,,,,,,,,,,
245,2003-05-14,14.1,Imperial,,,,,,,,,,,,,,,,,,,
246,2003-05-15,5.6,Imperial,,,,,,,,,,,,,,,,,,,
247,2003-05-15,3.8,Imperial,,,,,,,,,,,,,,,,,,,
248,2003-05-16,4.5,Imperial,,,,,,,,,,,,,,,,,,,
249,2003-05-16,4.7,Imperial,,,,,,,,,,,,,,,,,,,
250,2003-05-17,10.7,Imperial,,,,,,,,,,,,,,,,,,,
251,2003-05-17,6.9,Imperial,,,,,,,,,,,,,,,,,,,
252,2003-05-18,12.3,Imperial,,,,,,,,,,,,,,,,,,,
253,2003-05-19,4.5,Imperial,,,,,,,,,,,,,,,,,,,
254,2003-05-19,3.4,Imperial,,,,,,,,,,,,,,,,,,,
